service,duration
registration,71
registration,44
registration,85
registration,34
registration,82
registration,64
registration,66
registration,67
registration,23
registration,63
registration,45
registration,97
registration,80
registration,60
registration,44
registration,39
registration,75
registration,60
registration,70
registration,70
clinical assessment,155
clinical assessment,90
clinical assessment,182
clinical assessment,130
clinical assessment,122
clinical assessment,430
clinical assessment,208
clinical assessment,145
clinical assessment,150
clinical assessment,155
clinical assessment,113
clinical assessment,106
clinical assessment,170
clinical assessment,194
clinical assessment,482
clinical assessment,118
clinical assessment,149
clinical assessment,530
clinical assessment,162
clinical assessment,80
clinical assessment,170
clinical assessment,163
clinical assessment,166
clinical assessment,176
clinical assessment,330
clinical assessment,463
clinical assessment,192
clinical assessment,168
clinical assessment,149
clinical assessment,170
clinical assessment,240
clinical assessment,240
clinical assessment,275
clinical assessment,270
clinical assessment,373
clinical assessment,371
clinical assessment,150
clinical assessment,220
clinical assessment,162
clinical assessment,150
clinical assessment,260
clinical assessment,195
clinical assessment,165
clinical assessment,110
clinical assessment,195
clinical assessment,205
clinical assessment,250
clinical assessment,225
clinical assessment,270
clinical assessment,336
clinical assessment,359
clinical assessment,285
clinical assessment,313
vaccination,97
vaccination,240
vaccination,157
vaccination,240
vaccination,96
vaccination,288
vaccination,158
vaccination,113
vaccination,150
vaccination,182
vaccination,115
vaccination,112
vaccination,334
vaccination,333
vaccination,267
vaccination,80
vaccination,268
vaccination,267
vaccination,174
vaccination,205
vaccination,190
vaccination,117
vaccination,172
vaccination,116
