service,duration
registration,55
registration,40
registration,44
registration,55
registration,36
registration,40
registration,31
registration,37
registration,38
registration,52
registration,39
registration,65
registration,38
registration,47
registration,43
registration,43
registration,69
registration,33
registration,37
registration,37
registration,28
registration,42
registration,46
registration,54
registration,52
registration,37
registration,45
registration,37
registration,50
registration,44
registration,35
registration,80
registration,39
registration,33
registration,44
registration,60
registration,44
registration,42
registration,40
registration,50
registration,66
registration,38
registration,32
registration,36
registration,54
registration,39
registration,63
registration,36
registration,51
registration,31
registration,55
registration,141
registration,38
registration,39
registration,42
registration,36
registration,62
registration,84
registration,80
registration,28
registration,41
registration,38
registration,41
registration,37
registration,41
registration,42
registration,39
registration,55
registration,53
registration,50
combined,290
combined,144
combined,133
combined,105
combined,165
combined,151
combined,170
combined,74
combined,114
combined,195
combined,320
combined,180
combined,170
combined,133
combined,245
combined,100
combined,135
combined,170
combined,455
combined,160
combined,220
combined,305
combined,293
combined,150
combined,140
combined,195
combined,225
combined,325
combined,319
combined,283
combined,380
combined,454
combined,160
combined,440
combined,338
combined,160
combined,215
combined,175
combined,190
combined,110
combined,215
combined,150
combined,170
combined,198
combined,180
combined,180
combined,165
combined,170
combined,130
combined,250
combined,174
combined,190
combined,110
combined,135
combined,140
combined,265
combined,165
combined,115
combined,330
combined,246
combined,340
combined,220
combined,130
combined,105
combined,168
combined,127
combined,255
combined,166
combined,385
combined,130
combined,150
combined,128
combined,165
combined,295
combined,240
combined,130
combined,210
combined,145
combined,275
combined,115
combined,370
combined,230
combined,185
combined,135
combined,135
combined,166
combined,145
combined,110
combined,245
combined,130
